"Export de toutes les versions ( le 02/09/2024 � 11:16 )"
Status;Identifiant;"Num�ro de version";Nom;Fili�re;"Date de d�but";"Date de fin";Type;Cause;"Information compl�mentaire";"Puissance maximale (MW)";"Puissance disponible (MW)";"Date de publication"
Active;05470_EDF_H_00106295;1;"GRAND MAISON 10";"Station de transfert d'�nergie par pompage hydraulique";"2024-09-02 11:15:00";"2024-09-02 17:15:00";Fortuite;D�faillance;"La dur�e indiqu�e dans la premi�re version est une dur�e par d�faut qui sera affin�e apr�s analyse technique - The duration indicated in the first version is pre-defined and will be reassessed after technical analysis.";170,00;0,00;"2024-09-02 11:16:34"
Active;05470_EDF_T_00170946;2;"PALUEL 3";Nucl�aire;"2024-09-03 00:00:00";"2024-09-04 00:00:00";Chronique.;"Informations compl�mentaires";"aFRR 03/09/2024 00h00 : 0MW; 23h55 : 0MW 04/09/2024 00h00 : 0MW; 03h55 : 0MW; 04h00 : 70MW; 07h55 : 70MW; 08h00 : 0MW; 16h55 : 0MW; 17h00 : 70MW; 23h55 : 70MW";;;"2024-09-02 11:08:11"
Active;05470_EDF_T_00170941;2;"MARTIGUES PONTEAU 5";"Gaz fossile";"2024-09-03 00:00:00";"2024-09-04 00:00:00";Chronique.;"Informations compl�mentaires";"aFRR 03/09/2024 00h00 : 0MW; 23h55 : 0MW 04/09/2024 00h00 : 0MW; 10h55 : 0MW; 11h00 : 75MW; 11h55 : 75MW; 12h00 : 0MW; 13h55 : 0MW; 14h00 : 75MW; 19h25 : 75MW; 19h30 : 0MW; 23h55 : 0MW";;;"2024-09-02 11:07:47"
Active;05470_EDF_T_00170902;2;"CORDEMAIS 4";"Houille fossile";"2024-09-03 00:00:00";"2024-09-04 00:00:00";Chronique.;"Informations compl�mentaires";"aFRR 03/09/2024 00h00 : 0MW; 22h55 : 0MW; 23h00 : 50MW; 23h55 : 50MW 04/09/2024 00h00 : 50MW; 04h55 : 50MW; 05h00 : 40MW; 07h55 : 40MW; 08h00 : 0MW; 15h25 : 0MW; 15h30 : 60MW; 23h55 : 60MW";;;"2024-09-02 11:06:52"
Active;05470_EDF_T_00171008;1;"TRICASTIN 4";Nucl�aire;"2024-09-03 00:00:00";"2024-09-04 00:00:00";Chronique.;"Informations compl�mentaires";"PMIN 03/09/2024 00h00 : 916MW; 23h55 : 916MW 04/09/2024 00h00 : 916MW; 23h55 : 916MW";;;"2024-09-02 11:05:45"
Active;05470_EDF_T_00171007;1;"TRICASTIN 3";Nucl�aire;"2024-09-03 00:00:00";"2024-09-04 00:00:00";Chronique.;"Informations compl�mentaires";"PMIN 03/09/2024 00h00 : -25MW; 05h25 : -25MW; 05h30 : 0MW; 06h00 : 0MW; 06h05 : 4MW; 17h45 : 523MW; 17h50 : 526MW; 17h55 : 530MW; 23h55 : 530MW 04/09/2024 00h00 : 530MW; 23h55 : 530MW";;;"2024-09-02 11:05:41"
Active;05470_EDF_T_00171006;1;"TRICASTIN 2";Nucl�aire;"2024-09-03 00:00:00";"2024-09-04 00:00:00";Chronique.;"Informations compl�mentaires";"PMIN 03/09/2024 00h00 : 888MW; 07h25 : 888MW; 07h30 : 928MW; 23h55 : 928MW 04/09/2024 00h00 : 928MW; 23h55 : 928MW";;;"2024-09-02 11:05:36"
Active;05470_EDF_T_00171005;1;"TRICASTIN 1";Nucl�aire;"2024-09-03 00:00:00";"2024-09-04 00:00:00";Chronique.;"Informations compl�mentaires";"PMIN 03/09/2024 00h00 : 880MW; 09h55 : 880MW; 10h00 : 500MW; 17h25 : 500MW; 17h30 : 880MW; 23h55 : 880MW 04/09/2024 00h00 : 880MW; 09h55 : 880MW; 10h00 : 500MW; 17h25 : 500MW; 17h30 : 880MW; 23h55 : 880MW";;;"2024-09-02 11:05:32"
Active;05470_EDF_T_00171004;1;"ST LAURENT 1";Nucl�aire;"2024-09-03 00:00:00";"2024-09-04 00:00:00";Chronique.;"Informations compl�mentaires";"PMIN 03/09/2024 00h00 : 865MW; 23h55 : 865MW 04/09/2024 00h00 : 865MW; 01h55 : 865MW; 02h00 : 432MW; 02h25 : 432MW; 02h30 : 865MW; 12h55 : 865MW; 13h00 : 180MW; 23h55 : 180MW";;;"2024-09-02 11:05:26"
Active;05470_EDF_T_00171003;1;"ST ALBAN 2";Nucl�aire;"2024-09-03 00:00:00";"2024-09-04 00:00:00";Chronique.;"Informations compl�mentaires";"PMIN 03/09/2024 00h00 : 1260MW; 23h55 : 1260MW 04/09/2024 00h00 : 1260MW; 23h55 : 1260MW";;;"2024-09-02 11:05:21"
